Time 0200,Time 0500,Time 0800,Time 1100,Time 1400,Time 1700,Time 2000,Time 2300
28.2,27.1,26.3,25,24.3,26.6,27.7,26.9
28.9,27.9,27,25.7,25.1,27.4,28.5,27.7
28.3,27.2,26.4,25.1,24.5,26.9,27.7,27.1
28.4,27.3,26.5,25.2,24.6,27.1,27.8,27.2
28.6,27.5,26.6,25.4,24.8,27.3,27.8,27.4
29,27.9,27.1,25.8,25.2,27.8,28.2,27.8
28.9,27.8,27,25.7,25.1,27.7,28.1,27.7
28.9,27.9,27,25.8,25.1,27.7,28.1,27.7
28.7,27.6,26.7,25.5,24.8,27.4,27.9,27.5
28.5,27.4,26.5,25.3,24.6,27.1,27.8,27.3
28.8,27.7,26.8,25.6,25,27.4,28.2,27.6
28.8,27.7,26.9,25.6,25,27.3,28.2,27.6
28.8,27.7,26.9,25.6,25,27.2,28.4,27.6
28.5,27.5,26.6,25.3,24.7,26.9,28.1,27.3
28.3,27.2,26.4,25.1,24.5,26.8,27.8,27.1
28.6,27.5,26.7,25.4,24.8,27.3,27.9,27.4
28.8,27.7,26.9,25.6,25,27.6,28,27.6
28.9,27.9,27,25.7,25.1,27.7,28.2,27.7
28.8,27.7,26.9,25.6,25,27.6,28.1,27.6
28.9,27.8,26.9,25.7,25.1,27.7,28.1,27.7
29.1,28.1,27.2,25.9,25.3,27.9,28.4,27.9
29.1,28,27.2,25.9,25.3,27.8,28.4,27.9
29,28,27.1,25.8,25.2,27.7,28.4,27.8
29.1,28,27.1,25.9,25.3,27.6,28.5,27.8
29.1,28,27.2,25.9,25.3,27.5,28.7,27.9
28.7,27.6,26.8,25.5,24.9,27.1,28.2,27.5
28.5,27.4,26.6,25.3,24.7,27.1,27.9,27.3
28.4,27.4,26.5,25.2,24.6,27.1,27.7,27.2
28.9,27.8,26.9,25.7,25.1,27.7,28.1,27.7
29.2,28.1,27.2,26,25.4,28,28.4,28
28.9,27.8,26.9,25.7,25.1,27.6,28.1,27.7
29.1,28,27.1,25.9,25.3,27.9,28.3,27.9
29,27.9,27.1,25.8,25.2,27.7,28.3,27.8
28.9,27.8,26.9,25.7,25,27.6,28.2,27.7
28.8,27.7,26.8,25.6,25,27.4,28.2,27.6
29.3,28.2,27.4,26.1,25.5,27.8,28.8,28.1
29.2,28.1,27.3,26,25.4,27.7,28.7,28
29,27.9,27,25.8,25.1,27.5,28.5,27.8
28.7,27.6,26.8,25.5,24.9,27.3,28.1,27.5
28.7,27.6,26.7,25.5,24.8,27.3,28,27.5
28.9,27.8,26.9,25.7,25.1,27.6,28.1,27.7
29,27.9,27.1,25.8,25.2,27.8,28.2,27.8
29,27.9,27.1,25.8,25.2,27.8,28.3,27.8
28.9,27.8,27,25.7,25.1,27.7,28.1,27.7
28.6,27.6,26.7,25.5,24.8,27.3,27.9,27.4
28.7,27.6,26.8,25.5,24.9,27.4,28,27.5
28.7,27.6,26.7,25.5,24.8,27.3,28,27.5
28.6,27.5,26.6,25.4,24.7,27.2,28,27.4
28.7,27.6,26.8,25.5,24.9,27.2,28.2,27.5
28.8,27.8,26.9,25.6,25,27.3,28.4,27.6
29,27.9,27,25.8,25.1,27.6,28.3,27.8
28.8,27.7,26.8,25.6,24.9,27.5,28.1,27.6
29,28,27.1,25.9,25.2,27.8,28.3,27.8
28.9,27.8,26.9,25.7,25,27.6,28.1,27.7
29.1,28,27.1,25.9,25.3,27.8,28.3,27.9
29.2,28.1,27.3,26,25.3,28,28.4,28
28.9,27.8,27,25.7,25.1,27.6,28.2,27.7
29,27.9,27.1,25.8,25.2,27.7,28.3,27.8
28.6,27.6,26.7,25.5,24.8,27.3,28,27.5
29.2,28.1,27.2,26,25.3,27.7,28.7,28
29,28,27.1,25.8,25.2,27.5,28.6,27.8
28.5,27.4,26.6,25.3,24.6,27,28,27.3
28.8,27.7,26.9,25.6,25,27.4,28.2,27.6
